States/UTs,YEAR,JAN,FEB,MAR,APR,MAY,JUN
Andaman & Nicobar Islands,1901,49.2,87.1,29.2,2.3,528.8,517.5
Andaman & Nicobar Islands,1902,0,159.8,12.2,0,446.1,537.1
Andaman & Nicobar Islands,1903,12.7,144,0,1,235.1,479.9
Andaman & Nicobar Islands,1904,9.4,14.7,0,202.4,304.5,495.1
Andaman & Nicobar Islands,1905,1.3,0,3.3,26.9,279.5,628.7
Andaman & Nicobar Islands,1906,36.6,0,0,0,556.1,733.3
Andaman & Nicobar Islands,1907,110.7,0,113.3,21.6,616.3,305.2
Andaman & Nicobar Islands,1908,20.9,85.1,0,29,562,693.6
Andaman & Nicobar Islands,1910,26.6,22.7,206.3,89.3,224.5,472.7
Andaman & Nicobar Islands,1911,0,8.4,0,122.5,327.3,649
Andaman & Nicobar Islands,1912,583.7,0.8,0,21.9,140.7,549.8
Andaman & Nicobar Islands,1913,84.8,0.5,1.3,2.5,190.7,530
Andaman & Nicobar Islands,1914,0,0,0,37.7,298.8,383.3
Andaman & Nicobar Islands,1915,45,56.7,33.3,40.9,170.2,334.7
Andaman & Nicobar Islands,1916,0,0,0,0.5,487.4,450.1
Andaman & Nicobar Islands,1917,8,3.6,112,4.5,295.9,301.1
Andaman & Nicobar Islands,1918,77.4,6.9,11.4,10.7,729.3,710.8
Andaman & Nicobar Islands,1919,10.2,18,0,35.5,283.9,542.5
Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13,237.4,546.9
Andaman & Nicobar Islands,1921,13.2,3.1,0,37.5,351.2,282.7
Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1
Andaman & Nicobar Islands,1923,79.5,0,NA,91.3,293.5,808.4
Andaman & Nicobar Islands,1924,28.7,0,14.8,89.7,191.2,261.2
Andaman & Nicobar Islands,1925,36.6,0,8.6,50.4,282.2,663.8
Andaman & Nicobar Islands,1926,122.1,0,0,0.5,198.4,370
Andaman & Nicobar Islands,1927,3,17.5,17.8,108.6,504.1,433.3
Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2
Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8
Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6
Andaman & Nicobar Islands,1931,25.3,0,2.5,2.5,205.4,393.5
Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,NA
Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2
Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62,708.4
Andaman & Nicobar Islands,1935,6.6,0,0.5,133.6,726.8,374.1
Andaman & Nicobar Islands,1936,16.5,15.3,116.5,NA,194.3,498.3
Andaman & Nicobar Islands,1937,21.6,10.7,0,112,330.5,732.8
Andaman & Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6
Andaman & Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541
Andaman & Nicobar Islands,1940,0.5,2.8,59.4,0,320.7,335.4
Andaman & Nicobar Islands,1941,0,12.8,0,77.8,251.9,497
Andaman & Nicobar Islands,1942,39.2,7.4,NA,NA,NA,NA
Andaman & Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9
Andaman & Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6
Andaman & Nicobar Islands,1949,0,56.4,0,166.5,405.8,658.4
Andaman & Nicobar Islands,1950,0.8,0,0,95.5,264.2,369.9
Andaman & Nicobar Islands,1951,82.7,7.2,0,45.4,259,619.9
Andaman & Nicobar Islands,1952,0,0.8,69.7,39.4,452.9,657.7
Andaman & Nicobar Islands,1953,56,65.3,20.1,159.4,241.1,549.9
Andaman & Nicobar Islands,1954,83.8,2.1,34.3,58,394.7,539.4
Andaman & Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1
Andaman & Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1
Andaman & Nicobar Islands,1957,28,19.3,4.6,19,142.4,741.9
Andaman & Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7
Andaman & Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7
Andaman & Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5
Andaman & Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3
Andaman & Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7
Andaman & Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7
Andaman & Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3
Andaman & Nicobar Islands,1965,11.8,30.4,25.3,51,292.3,408.8
Andaman & Nicobar Islands,1966,79.8,4.2,12,38.7,376.9,148.8
Andaman & Nicobar Islands,1967,164.6,21.6,30,63.4,516.4,340.8
Andaman & Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2
Andaman & Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8
Andaman & Nicobar Islands,1970,72.2,34,7.8,58.2,422.7,407.3
Andaman & Nicobar Islands,1971,41.5,32.8,37.7,35.3,398,394.6
Andaman & Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470
Andaman & Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6
Andaman & Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8
Andaman & Nicobar Islands,1975,276.9,27.5,8,24.2,362.9,706.3
Andaman & Nicobar Islands,1976,20.9,9.7,0.6,161.6,551.4,441.4
Andaman & Nicobar Islands,1977,79.7,43.2,6.1,6.9,275.3,339.3
Andaman & Nicobar Islands,1978,109.6,29.3,18.9,63.4,343.6,462.2
Andaman & Nicobar Islands,1979,35.5,9.4,3.9,64.8,146.3,282.8
Andaman & Nicobar Islands,1980,5.5,0.8,9.2,38.8,728.4,604.2
Andaman & Nicobar Islands,1981,11.1,27.8,1.7,94.1,270.8,600.6
Andaman & Nicobar Islands,1982,8.8,2.8,6.6,97.5,229.2,448.7
Andaman & Nicobar Islands,1983,22.1,0,3.1,9.1,240.8,424.3
Andaman & Nicobar Islands,1984,69.4,173.8,26.3,156.6,162.3,424.9
Andaman & Nicobar Islands,1985,12,19.2,24.1,55,278.1,588.4
Andaman & Nicobar Islands,1986,14.8,0.6,1.5,8.2,302.6,312.2
Andaman & Nicobar Islands,1987,72.4,35.2,20.4,17.7,162.9,343.7
Andaman & Nicobar Islands,1988,10.2,39.9,28,82.7,427.5,357.4
Andaman & Nicobar Islands,1989,56,12.8,68.1,42.6,379.3,414.9
Andaman & Nicobar Islands,1990,13.4,0.2,24.6,87.5,424.6,291
Andaman & Nicobar Islands,1991,14.1,3.8,28,132.9,191.3,165.7
Andaman & Nicobar Islands,1992,75.9,10.9,0,5.1,241.7,392
Andaman & Nicobar Islands,1993,14.9,0,129.9,43.7,181.4,257.1
Andaman & Nicobar Islands,1994,7.2,35.5,129.4,154.6,403.2,386.3
Andaman & Nicobar Islands,1995,51.8,12.5,12.1,21.1,314.8,450.4
Andaman & Nicobar Islands,1996,52.2,4.8,3.4,122.7,298,559.2
Andaman & Nicobar Islands,1997,9.5,0,0.2,15.6,281.1,199.5
Andaman & Nicobar Islands,1998,0.9,0,0,0,348.9,600
Andaman & Nicobar Islands,1999,46.8,44.6,14.2,270.6,257.4,295
Andaman & Nicobar Islands,2000,53,59,171.3,218.1,422.8,357
Andaman & Nicobar Islands,2001,89,15.7,143.3,30.1,705.3,370.7
Andaman & Nicobar Islands,2002,10.6,0,11.5,100.2,366.7,358.3
Andaman & Nicobar Islands,2003,44.3,7.9,149.2,19.4,296.3,159.9
Andaman & Nicobar Islands,2004,54.5,35.9,36.5,41.6,505.1,423.9
Andaman & Nicobar Islands,2005,0,0,20.3,51.1,305.3,452.4
Andaman & Nicobar Islands,2006,16.3,14.4,48.9,163.7,321.4,366
Andaman & Nicobar Islands,2007,4.9,1.6,5,54.6,370,378.3
Andaman & Nicobar Islands,2008,9.9,67.7,115.8,216.1,545.5,457.8
Andaman & Nicobar Islands,2009,24.5,6.3,44.2,136.5,313.1,633.5
Andaman & Nicobar Islands,2010,101.7,8,0.7,12.5,319,448.9
Andaman & Nicobar Islands,2011,265.9,84.8,272.8,111.4,326.5,383.2
Andaman & Nicobar Islands,2012,119.9,45.6,30.9,55.8,533.9,458.2
Andaman & Nicobar Islands,2013,67.1,37.6,43,46.3,509.3,777
Andaman & Nicobar Islands,2014,41.9,8.6,0,11.1,238,416.6
Andaman & Nicobar Islands,2015,126.8,7.6,3.1,138.2,331.9,346.4
Andaman & Nicobar Islands,2016,72,15.8,5.4,2.4,191.1,429.4
Andaman & Nicobar Islands,2017,228.7,5.6,33,108.3,275.8,349.1
Arunachal Pradesh,1916,48.1,69.8,71.1,316.1,424.6,1124.9
Arunachal Pradesh,1917,21.4,164.5,NA,269.6,107.9,823.8
Arunachal Pradesh,1918,10.4,11,191.2,144.6,861.1,1609.9
Arunachal Pradesh,1919,34.5,67.8,28.5,256.9,420.6,973.6
Arunachal Pradesh,1920,14,196.3,605.6,364.7,173.6,840.6
Arunachal Pradesh,1921,78.9,54.3,180.3,358,598,1233.2
Arunachal Pradesh,1922,50.7,59.4,170.4,299.5,350.5,1109.3
Arunachal Pradesh,1923,9.4,160.8,34,240.9,445.4,408.6
Arunachal Pradesh,1924,85.7,45.1,74.1,162.4,515.7,1165
Arunachal Pradesh,1925,80.6,114,143.3,223,587.2,611.6
Arunachal Pradesh,1926,38.1,40.8,179.1,249.7,248.1,675.2
Arunachal Pradesh,1927,48.3,208.5,88.1,384,164,1045.4
Arunachal Pradesh,1928,48.9,39.7,118.2,123.4,431.9,1168.3
Arunachal Pradesh,1929,144.8,59.2,124.3,492.3,615.8,853
Arunachal Pradesh,1930,64.4,84.3,202.5,565.4,148.9,720.9
Arunachal Pradesh,1931,61.3,189.7,231.6,502.7,277.7,1149.4
Arunachal Pradesh,1932,70.2,110.3,105.5,282.7,661.6,1065.2
Arunachal Pradesh,1933,56,59.4,101.6,267.9,435.3,782.1
Arunachal Pradesh,1934,84.9,88.3,128.3,595.1,454.5,1024.6
Arunachal Pradesh,1935,18.1,143.6,169.7,211.2,299.9,1147.1
Arunachal Pradesh,1936,105.9,175.2,151.7,374.7,295.7,833.1
Arunachal Pradesh,1937,19.9,105.6,91.2,261,399,456.4
Arunachal Pradesh,1938,144.8,121.6,340.5,395.3,306.5,1511.3
Arunachal Pradesh,1939,13.6,140.5,112.7,388.1,314.6,1132.5
Arunachal Pradesh,1940,12.7,168.5,381.8,133.9,480.5,511
Arunachal Pradesh,1941,37.4,101.7,157.9,245.4,652.4,518.1
Arunachal Pradesh,1942,15.8,164.9,277.8,272.4,618.9,1182.6
Arunachal Pradesh,1943,164.5,46.3,286.3,322.6,656.6,712.3
Arunachal Pradesh,1944,73.1,67,128.4,179.9,664.6,935.9
Arunachal Pradesh,1945,43.4,107.8,151.3,282.9,366,420.2
Arunachal Pradesh,1946,1.8,73.2,141.7,238.3,631.2,448.6
Arunachal Pradesh,1947,37.8,68.5,158.6,460.2,494.4,650.2
Arunachal Pradesh,1948,35.6,119.5,136.1,441.1,1168.6,889.5
Arunachal Pradesh,1949,80.1,88.1,287.4,436.9,567.2,943.9
Arunachal Pradesh,1950,38.6,92.8,205.8,425.2,274.2,NA
Arunachal Pradesh,1951,31.8,65.3,309.9,441,344.5,757.8
Arunachal Pradesh,1952,17.2,24.5,189.6,151.5,235.1,276.8
Arunachal Pradesh,1953,56.4,106.9,236,214.9,314.9,409.9
Arunachal Pradesh,1957,NA,NA,NA,246.9,448.9,608.1
Arunachal Pradesh,1958,98.4,67.5,32.9,138.5,698.6,511.2
Arunachal Pradesh,1959,83.2,137.9,104.5,146.4,671.8,812.9
Arunachal Pradesh,1960,8,26.8,53.2,137.1,210.7,653.9
Arunachal Pradesh,1961,50,204.2,289.6,181,492.3,595.5
Arunachal Pradesh,1962,37.2,87.1,45.1,250.3,601.9,1088.8
Arunachal Pradesh,1963,14.6,35.2,168.6,262.6,346.4,755.4
Arunachal Pradesh,1964,55.4,90.3,81.1,219.7,286.4,1432.8
Arunachal Pradesh,1965,37.4,120.7,103.7,254.4,306.9,404.7
Arunachal Pradesh,1966,22.4,91.5,98.4,180.2,177.9,473.2
Arunachal Pradesh,1967,13.3,45.5,147.9,96.6,164,253.1
Arunachal Pradesh,1968,54.2,41.4,135.9,117.6,307.2,510.1
Arunachal Pradesh,1969,19.2,10,33.8,127,202.3,412.3
Arunachal Pradesh,1970,49.2,78.8,57.4,108.8,213.4,409.6
Arunachal Pradesh,1971,56,67.8,47.1,121.8,222.4,446
Arunachal Pradesh,1972,39.2,114.2,108.3,231.5,299.5,314.4
Arunachal Pradesh,1973,136.4,147.1,82.3,215.3,256.5,571.1
Arunachal Pradesh,1974,130.9,95.4,127.8,272.6,248.3,466.7
Arunachal Pradesh,1975,17.3,76.9,101.7,165.1,188,268.5
Arunachal Pradesh,1976,8.9,112.9,168,229.3,210.7,506.3
Arunachal Pradesh,1977,71.2,133.5,209.3,560.2,417.8,543.5
Arunachal Pradesh,1978,37.1,82.2,150.6,216.4,345.6,577.2
Arunachal Pradesh,1979,47.4,81.6,138.2,158.8,210.3,239.4
Arunachal Pradesh,1980,65.6,130.4,251.4,372,245.5,530.9
Arunachal Pradesh,1981,93.1,136.1,255.2,197.4,285,494.9
Arunachal Pradesh,1982,6.4,100.4,151.2,335.3,241.4,429.8
Arunachal Pradesh,1983,65.4,171.1,217.6,351.2,301.9,551
Arunachal Pradesh,1984,98.1,42.8,166.9,389.3,448.7,417.3
Arunachal Pradesh,1985,54.1,81,255.6,347.1,345.5,506
Arunachal Pradesh,1986,19.3,90.1,122.8,335.3,101.8,402.5
Arunachal Pradesh,1987,3.7,72.5,147.7,352,230.8,501.5
Arunachal Pradesh,1988,50.9,118.3,250.7,278.9,535.9,287
Arunachal Pradesh,1989,52.6,171.9,92.9,388.7,239.7,484.2
Arunachal Pradesh,1990,54.8,112.4,149,289.9,366.2,857.2
Arunachal Pradesh,1991,24.9,86,110.7,193.3,423.7,608.3
Arunachal Pradesh,1992,33.2,128.9,184.6,196.4,239.2,522.9
Arunachal Pradesh,1993,95.7,125.4,134.4,130.6,408.3,569.5
Arunachal Pradesh,1994,48.2,72.6,215.3,232.1,382.9,416.1
Arunachal Pradesh,1995,20.6,79.9,84.3,198.8,363.9,686.9
Arunachal Pradesh,1996,35.7,56.2,163.6,171.4,398.2,316.2
Arunachal Pradesh,1997,26.2,68.5,158.5,94.7,212.6,548
Arunachal Pradesh,1998,26.7,78.8,193.6,125,275,839.8
Arunachal Pradesh,1999,7.9,6.1,40.4,159.6,343.2,450
Arunachal Pradesh,2000,54.1,47.1,139.9,293.8,267.2,459.8
Arunachal Pradesh,2001,53.1,66.6,134.9,229.9,195.6,277.2
Arunachal Pradesh,2002,74.2,37.2,126.3,248.2,197.1,396.8
Arunachal Pradesh,2003,22.9,83.2,109.6,182,173.5,424.3
Arunachal Pradesh,2004,38,39.1,175.5,210.2,298.7,402.9
Arunachal Pradesh,2005,48.4,167.6,229.5,195.3,179.8,269.3
Arunachal Pradesh,2006,6,103.7,63.3,202.7,321.7,520.4
Arunachal Pradesh,2007,13.4,97.4,48.1,292.4,250.4,530.2
Arunachal Pradesh,2008,76.7,39.7,122.6,192.4,185,423.6
Arunachal Pradesh,2009,18,92.8,72.1,132.7,189.9,259.1
Arunachal Pradesh,2010,0.6,13.2,237.8,466.9,312.7,509.9
Arunachal Pradesh,2011,40,51.3,174.5,240.8,219.6,288.4
Arunachal Pradesh,2012,57.8,35.8,134.2,403.4,187.4,645.8
Arunachal Pradesh,2013,18.5,40.5,115.1,175.1,335.8,290
Arunachal Pradesh,2014,19,101.9,80.3,86.7,299,415.8
Arunachal Pradesh,2015,30.8,47.5,97.5,287.1,238.9,637.9
Arunachal Pradesh,2016,29.4,73.2,128.4,333.1,278.9,379.4
Arunachal Pradesh,2017,8.2,86.2,221.8,348.2,257.1,370.8
Assam & Meghalaya,1901,27.1,19.5,30.6,223,207,524.9
Assam & Meghalaya,1902,9.3,10.2,105.6,350,262.1,620.7
Assam & Meghalaya,1903,19.9,25.4,103.6,140.6,206.6,607.4
Assam & Meghalaya,1904,11.1,56.1,51.9,457.1,375.2,385.7
Assam & Meghalaya,1905,19.9,16.9,137.9,213,275.5,521.7
Assam & Meghalaya,1906,9.7,59.2,88.4,263.5,271.3,388.4
Assam & Meghalaya,1907,55.8,37.2,109.7,254.8,213.7,509.8
Assam & Meghalaya,1908,16.2,25.1,20.7,176.6,332.7,390.8
Assam & Meghalaya,1909,19,8.9,4.4,195,310.4,639.4
Assam & Meghalaya,1910,9.2,32.1,152.8,211.5,274.6,582.5
Assam & Meghalaya,1911,74.2,19,93,234,431.7,534
Assam & Meghalaya,1912,9,57.8,126.1,301,250.2,482.7
Assam & Meghalaya,1913,11.9,90.2,118.4,334.2,392.3,458.6
Assam & Meghalaya,1914,6.3,79.1,69.9,219.6,317.9,403.9
Assam & Meghalaya,1915,9.3,58.9,74.4,201.9,662.9,509.1
Assam & Meghalaya,1916,20,28,118.4,227.9,340.6,367.3
Assam & Meghalaya,1917,12.8,91.6,38.7,168.8,206.2,584.7
Assam & Meghalaya,1918,4.6,16.1,125.5,152.2,287.4,659.4
Assam & Meghalaya,1919,13.1,12.4,22.6,162.1,266.9,485.5
Assam & Meghalaya,1920,4.8,51,228.1,184.8,282.7,523.8
Assam & Meghalaya,1921,35.1,20.3,134.1,324.6,414.8,604.9
Assam & Meghalaya,1922,16.6,4.9,77.8,168.7,233.1,548.9
Assam & Meghalaya,1923,0.4,59.6,17.1,258.1,397.8,588.6
Assam & Meghalaya,1924,10.6,22.7,20,221.9,299.4,473.9
Assam & Meghalaya,1925,26.4,21.5,53.8,278.3,602.2,330.8
Assam & Meghalaya,1926,23.4,23.2,156.9,140.8,253.9,559.3
Assam & Meghalaya,1927,33.8,60.5,66,265.2,238.4,573.9
Assam & Meghalaya,1928,8.3,21.1,61,138.9,446.5,420.6
Assam & Meghalaya,1929,83.9,3.8,84.1,321.7,570.2,643.4
Assam & Meghalaya,1930,18,41,99.8,199.4,209.8,686.9
Assam & Meghalaya,1931,7.6,29.2,47.6,294.7,374,605.6
Assam & Meghalaya,1932,14.9,36.7,59.1,163.2,488.6,628.5
Assam & Meghalaya,1933,10.3,29,16.7,214.4,286.7,477.2
Assam & Meghalaya,1934,18.5,68.2,27.1,301.2,444.6,754.5
Assam & Meghalaya,1935,3.4,53.2,66.5,122.1,381.5,696.9
Assam & Meghalaya,1936,13.6,58.7,75.7,217.8,422.8,456.1
Assam & Meghalaya,1937,2.2,51.1,19.3,97.4,406.6,422.5
Assam & Meghalaya,1938,27.2,16.2,138,202,247.3,581
Assam & Meghalaya,1939,1.5,33.6,11.2,178.3,349.6,533.7
Assam & Meghalaya,1940,1.5,57.9,180.8,72.6,391.9,500.5
Assam & Meghalaya,1941,4.5,32.7,53.8,245.1,522.4,541.7
Assam & Meghalaya,1942,7.4,25.3,130.9,233.5,469.1,618.8
Assam & Meghalaya,1943,54.4,34.1,170.6,247.7,406.6,513.3
Assam & Meghalaya,1944,39.2,21.3,62.9,139,518,490.6
Assam & Meghalaya,1945,37,39.7,67.5,139.5,396.5,500.5
Assam & Meghalaya,1946,0.4,19.4,102.6,178.5,328,582.6
Assam & Meghalaya,1947,3.9,9,83.9,243.4,380.2,486.4
Assam & Meghalaya,1948,10.1,42.4,59.5,260.4,681.2,599.4
Assam & Meghalaya,1949,22.9,23.1,76,371,335.9,683.4
Assam & Meghalaya,1950,21.2,51.2,93.5,112.9,282.1,562
Assam & Meghalaya,1951,4.9,3.3,53.5,242.9,250.4,588.8
Assam & Meghalaya,1952,4.4,10.4,107.5,155.9,465.6,399.9
Assam & Meghalaya,1953,18,13.3,227.3,157.4,377.7,405.5
Assam & Meghalaya,1954,22,45.7,40.6,266,490.3,594.3
Assam & Meghalaya,1955,9.2,9.5,143.5,210.2,328.8,546.5
Assam & Meghalaya,1956,29.8,3.2,121.7,204.8,533.5,712.4
Assam & Meghalaya,1957,66.9,33.5,20.1,136,449.2,446
Assam & Meghalaya,1958,18.8,44.2,10.3,192.4,545.2,393.2
Assam & Meghalaya,1959,30.8,45.6,109.9,144.1,470.6,517.6
Assam & Meghalaya,1960,0.1,11.1,38.7,45.9,315.2,454.8
Assam & Meghalaya,1961,11.5,19.7,253.8,123,355.8,335.4
Assam & Meghalaya,1962,24.9,27.6,17.3,134.7,369,601.4
Assam & Meghalaya,1963,3.3,7.9,51.1,183.3,288.4,596
Assam & Meghalaya,1964,9.6,22.6,80.7,268.3,297.4,557.9
Assam & Meghalaya,1965,5.1,73.6,52.5,158.2,327.1,501
Assam & Meghalaya,1966,20,23.6,36.1,164.3,323.7,780.5
Assam & Meghalaya,1967,11.4,37.3,105.9,112,287.5,395.7
Assam & Meghalaya,1968,22.9,19.8,78.2,170.8,432.3,595
Assam & Meghalaya,1969,27.4,1.8,99.7,178.7,254.1,567.2
Assam & Meghalaya,1970,47,35.8,89.7,204.8,493.4,658.3
Assam & Meghalaya,1971,36.9,18.4,37.6,142.9,236.3,437.1
Assam & Meghalaya,1972,18,39.6,99.3,260.3,339.3,576.2
Assam & Meghalaya,1973,9.8,82.8,28.9,252.1,324.5,634.4
Assam & Meghalaya,1974,31.6,11.4,78.7,255.8,369.4,627
Assam & Meghalaya,1975,10,22.3,18.8,227.9,321.2,337.6
Assam & Meghalaya,1976,5.7,36.3,92.6,139.4,179.5,509.7
Assam & Meghalaya,1977,9.1,16.2,74.4,375.1,391.6,405
Assam & Meghalaya,1978,5,8.2,44.3,100.9,253.7,506.6
Assam & Meghalaya,1979,3.3,8.7,38.2,93.8,225.6,307.8
Assam & Meghalaya,1980,13.1,36.3,96.9,173.2,289.4,389.5
Assam & Meghalaya,1981,29.6,30.7,91,152.1,251.5,273.1
Assam & Meghalaya,1982,1.8,31.1,50.6,254.3,215.5,517.2
Assam & Meghalaya,1983,16.4,37.8,90,165.9,278.2,362
Assam & Meghalaya,1984,22.4,7.2,28.6,202.8,416,478.5
Assam & Meghalaya,1985,8.7,32.3,152.6,268.1,335,496
Assam & Meghalaya,1986,16.4,11.7,28,282.8,159.7,404.2
Assam & Meghalaya,1987,8.8,27.8,110.4,197.6,199,525.8
Assam & Meghalaya,1988,7.3,46.1,82.3,157.9,568.6,403.8
Assam & Meghalaya,1989,10.5,51.6,30.4,183.4,260.1,488.8
Assam & Meghalaya,1990,19.2,46.9,96.7,333.7,304.1,513.8
Assam & Meghalaya,1991,13.7,30.2,62.1,175.7,495.8,517.8
Assam & Meghalaya,1992,14.7,46.3,62,114.5,292.3,450.9
Assam & Meghalaya,1993,73.3,96.9,86.1,138.5,374,619.5
Assam & Meghalaya,1994,26.6,42.5,157.2,161.3,282,477.6
Assam & Meghalaya,1995,8.7,39.7,42,145.7,299.1,663.3
Assam & Meghalaya,1996,12.8,23.2,101.6,99.2,415.6,397.7
Assam & Meghalaya,1997,18.2,40.7,91.8,131.9,241.8,569.9
Assam & Meghalaya,1998,11.8,31.5,136.8,185.7,250.6,581.2
Assam & Meghalaya,1999,2.4,0.5,38.7,150.6,466.8,429
Assam & Meghalaya,2000,20.5,13.7,65.9,238.5,375.1,540.2
Assam & Meghalaya,2001,5.5,39.7,30.9,198.6,266.4,399.8
Assam & Meghalaya,2002,20.2,5.7,83.3,279.9,286.9,502.5
Assam & Meghalaya,2003,9.5,41.5,96.9,213.8,235.8,551.4
Assam & Meghalaya,2004,15.3,19.5,72.8,340.8,342.2,397.9
Assam & Meghalaya,2005,22.8,30.5,172.2,207.5,281.2,373.9
Assam & Meghalaya,2006,0.7,40.9,20.8,169,325.7,395.9
Assam & Meghalaya,2007,1.5,73.7,23.5,242.7,219.8,489.7
Assam & Meghalaya,2008,29.7,14.5,107.5,156.2,210.6,414.6
Assam & Meghalaya,2009,7.9,11.6,44.9,134.9,246.5,321.1
Assam & Meghalaya,2010,0.5,3.1,99.6,389.3,393.4,569.7
Assam & Meghalaya,2011,11.1,11.4,109,92.1,238.3,316
Assam & Meghalaya,2012,15.2,6.9,28.8,279.1,185.8,729.7
Assam & Meghalaya,2013,1.1,9.6,44,112.8,346.7,286.2
Assam & Meghalaya,2014,2,28.3,29.3,51.5,351.1,426.4
Assam & Meghalaya,2015,13.4,15.5,37.5,250.9,332.5,558.5
Assam & Meghalaya,2016,18.9,15.9,64.1,327.8,334,369
Assam & Meghalaya,2017,1.7,37.8,116.7,310.9,268.4,485.2
Naga Mani Mizo Tripura,1901,11.7,18.1,29.4,206.2,124,443.3
Naga Mani Mizo Tripura,1902,4.8,0.5,36.3,297.8,215.5,480.1
Naga Mani Mizo Tripura,1903,6.5,40.5,139.8,45.5,159.9,458.6
Naga Mani Mizo Tripura,1904,2.3,46.9,47.5,290.3,230.5,455.3
Naga Mani Mizo Tripura,1905,9.1,35.3,306.5,161.7,193.6,339.7
Naga Mani Mizo Tripura,1906,7,71.5,72.5,99,302.7,417.4
Naga Mani Mizo Tripura,1907,39.1,30.4,92.8,189.1,156,414.1
Naga Mani Mizo Tripura,1908,26.4,15,4.3,141.1,252.1,360
Naga Mani Mizo Tripura,1909,6,4.7,3.1,201.8,235.1,415.3
Naga Mani Mizo Tripura,1910,26,10.9,30.7,138.4,228,444.8
Naga Mani Mizo Tripura,1911,47.3,11.9,102.2,141.3,331.3,444.9
Naga Mani Mizo Tripura,1912,1,36.7,127.8,305.9,222.5,344.7
Naga Mani Mizo Tripura,1913,4.3,63.4,109.9,138.1,264.1,559.1
Naga Mani Mizo Tripura,1914,5,93.3,129.7,255.9,276.5,342.6
Naga Mani Mizo Tripura,1915,13.9,35.5,89.4,198.9,448.9,465.2
Naga Mani Mizo Tripura,1916,13.2,17.5,37.3,212.5,131.8,363.8
Naga Mani Mizo Tripura,1917,1.3,81.8,25.6,289.1,121.7,356.6
Naga Mani Mizo Tripura,1918,3.8,6.1,138.6,224.8,361.9,573.8
Naga Mani Mizo Tripura,1919,17.5,18.1,17.3,151.1,132.7,358.4
Naga Mani Mizo Tripura,1920,5.1,56.8,272.7,143.7,167.9,363.3
Naga Mani Mizo Tripura,1921,46.9,24.1,179.2,178.2,271.3,443.8
Naga Mani Mizo Tripura,1922,8.5,4.5,17.3,119.3,182.1,569.1
Naga Mani Mizo Tripura,1923,0,64.9,13.5,216.2,296.1,506.2
Naga Mani Mizo Tripura,1924,3.7,45.2,14.1,170.9,295.1,478.6
Naga Mani Mizo Tripura,1925,43,36.4,35,195.6,385.5,362.4
Naga Mani Mizo Tripura,1926,24,70.1,155.5,177.1,229.7,361.1
Naga Mani Mizo Tripura,1927,41.4,103.5,56.3,360.4,245.2,363.8
Naga Mani Mizo Tripura,1928,4.3,28.5,52.3,65.3,309,463.2
Naga Mani Mizo Tripura,1929,38.3,7.7,48,242.7,433,859.1
Naga Mani Mizo Tripura,1930,22.6,53.6,107.5,161,223.1,506.6
Naga Mani Mizo Tripura,1931,2.7,53,59.6,109.9,360.6,388.8
Naga Mani Mizo Tripura,1932,6.1,69.7,99.1,162.2,323.6,600.7
Naga Mani Mizo Tripura,1933,2.5,19.7,34.3,167,298.4,463.4
Naga Mani Mizo Tripura,1934,16,135.1,57.1,191.1,313.2,567.2
Naga Mani Mizo Tripura,1935,0.6,48.3,43.7,173.3,171.2,547.1
Naga Mani Mizo Tripura,1936,19.3,73.1,104.6,227.5,489.5,418.3
Naga Mani Mizo Tripura,1937,0.1,60,37.3,85.4,337.1,528.9
Naga Mani Mizo Tripura,1938,29.2,29.2,133.8,153.6,429,494.6
Naga Mani Mizo Tripura,1939,2.6,59.3,34.5,203.7,274.4,449.6
